,Coal,Natural Gas,Nuclear,Conventional Hydroelectric,Wind,Temperature,Departure from Mean,Date
236,177287.111,42388.663,68707.077,18852.048,389.25,31.35,1.23,2001-01-01
235,149735.484,37966.927,61272.407,17472.889,431.242,33.98,0.16,2001-02-01
234,155269.011,44364.414,62140.712,20477.189,532.12,41.49,-0.01,2001-03-01
233,140670.654,45842.746,56003.026,18012.994,684.695,53.08,2.03,2001-04-01
232,151592.914,50934.205,61512.445,19175.635,635.029,62.82,2.62,2001-05-01
231,162615.804,57603.154,68023.098,20727.63,669.634,69.24,0.75,2001-06-01
230,179060.41,73030.142,69166.04,18079.119,634.992,74.48,0.87,2001-07-01
229,183116.073,78409.804,68389.496,18913.768,577.206,74.3,2.2,2001-08-01
228,154158.317,60181.14,63378.451,15256.027,490.229,65.7,0.84,2001-09-01
227,148930.816,56376.441,60460.967,15234.503,606.829,54.37,0.26,2001-10-01
226,144116.998,44490.622,62341.711,15412.929,470.448,47.41,5.72,2001-11-01
225,157402.35,47540.861,67430.878,19346.314,615.657,36.12,3.44,2001-12-01
224,164358.018,48412.832,70925.863,21794.932,811.402,34.48,4.36,2002-01-01
223,143048.822,44308.431,61658.274,20191.683,713.932,36.39,2.57,2002-02-01
222,151485.651,51214.464,63040.647,21008.813,852.102,39.54,-1.96,2002-03-01
221,142304.595,49146.409,58437.062,24246.605,1024.417,53.49,2.44,2002-04-01
220,151406.401,50275.237,63032.192,26662.695,1077.641,59.29,-0.91,2002-05-01
219,164667.695,65631.018,66371.896,28212.847,1126.315,70.86,2.37,2002-06-01
218,183194.702,83917.269,70420.827,25470.647,890.455,75.85,2.24,2002-07-01
217,179955.447,84476.867,70777.688,21083.924,976.691,72.86,0.76,2002-08-01
216,165366.309,68161.131,64480.79,17086.782,735.828,66.85,1.99,2002-09-01
215,159099.294,54200.82,60493.052,17171.334,734.355,51.84,-2.27,2002-10-01
214,156053.655,45160.876,61520.324,19730.029,655.946,41.97,0.28,2002-11-01
213,172189.765,46100.393,68905.472,21668.54,755.194,35.08,2.4,2002-12-01
212,181313.153,50175.746,69211.084,20600.079,632.34,32.81,2.69,2003-01-01
211,156982.481,43546.573,60941.869,19779.86,745.375,32.79,-1.03,2003-02-01
210,155001.775,46699.026,59933.261,24202.273,1036.104,43.3,1.8,2003-03-01
209,141959.981,45195.383,56775.591,24758.962,1092.766,51.89,0.84,2003-04-01
208,150262.977,49372.963,62201.96,29395.256,1006.383,60.98,0.78,2003-05-01
207,162284.63,54452.951,64180.727,28586.3,1047.144,68.05,-0.44,2003-06-01
206,181852.318,76938.278,69652.754,24843.095,953.396,75.47,1.86,2003-07-01
205,185331.823,83249.694,69023.878,22972.03,815.429,74.66,2.56,2003-08-01
204,164910.002,59089.943,63583.645,18480.455,895.054,64.96,0.1,2003-09-01
203,159322.942,51824.169,60016.207,18428.423,897.161,56.55,2.44,2003-10-01
202,158223.194,45327.919,59600.02,19715.265,961.432,42.35,0.66,2003-11-01
201,176291.473,44034.895,68611.699,24044.33,1104.881,35.29,2.61,2003-12-01
200,180657.42054,48253.37213,70806.16,22983.30588,999.44521,30.34,0.22,2004-01-01
199,161503.09216,50319.87478,64101.949,20913.61671,1021.56897,33.57,-0.25,2004-02-01
198,154288.41916,49801.1869,63285.116,22914.28123,1291.224,47.41,5.91,2004-03-01
197,141470.95622,51821.98826,58620.255,20887.97481,1294.8568,52.68,1.63,2004-04-01
196,157016.37723,62021.80807,64917.412,24019.71812,1701.65148,61.92,1.72,2004-05-01
195,167641.90627,64685.66904,67734.073,25252.34503,1397.20574,68.09,-0.4,2004-06-01
194,181491.82062,79290.02224,71975.04,23318.27953,1164.37009,72.9,-0.71,2004-07-01
193,178181.34259,77820.68835,71068.483,21591.96742,1050.71885,70.16,-1.94,2004-08-01
192,164252.92334,67853.99334,65932.057,20525.26137,1089.61523,65.66,0.8,2004-09-01
191,157605.0954,57228.81399,62530.352,18862.7954,1028.87272,55.36,1.25,2004-10-01
190,157435.99421,49693.03398,58940.863,20937.04438,932.203,43.99,2.3,2004-11-01
189,176755.20145,51309.56547,68616.627,26210.71849,1172.00867,35.06,2.38,2004-12-01
188,177013.90662,51337.62707,69828.239,24272.16485,1131.5685,33.39,3.27,2005-01-01
187,155818.01413,44912.61665,60946.934,21606.77394,966.48178,37.94,4.12,2005-02-01
186,163612.7005,51896.97271,61538.53,22936.06749,1560.62565,42.31,0.81,2005-03-01
185,143083.23903,52016.28598,55484.01,23058.35863,1697.5037,52.27,1.22,2005-04-01
184,153957.96154,54826.00402,62970.464,27278.51096,1746.42955,59.56,-0.64,2005-05-01
183,174866.99726,75635.49254,66144.275,26782.98993,1796.92435,69.21,0.72,2005-06-01
182,186090.75719,96819.41031,71070.011,25956.84152,1420.94183,75.31,1.7,2005-07-01
181,187573.75443,100786.65435,71381.55,21565.67882,1138.03152,73.2,1.1,2005-08-01
180,171656.21549,73355.48269,66738.979,17363.68401,1468.34696,67.37,2.51,2005-09-01
179,162436.79301,55940.88089,61235.597,18006.36026,1446.18982,55.38,1.27,2005-10-01
178,158797.52701,49440.22594,62912.709,19352.66779,1609.69148,45.01,3.32,2005-11-01
177,177965.17958,53992.60122,71735.067,22141.15675,1827.81389,32.7,0.02,2005-12-01
176,169236.08057,43806.92078,71911.532,27436.65597,2382.63335,38.93,8.81,2006-01-01
175,158616.18891,47408.9894,62615.654,24761.68318,1921.95844,34.83,1.01,2006-02-01
